clock,air_volume,cold_air_press,hot_air_press,oxygen,hot_air_temp,coal_rate,humidity,gas_rate,furnace_top_press,upper_press_diff,lower_press_diff,total_press_diff,air_press_ratio,furnace_top_temp_avg,air_speed,furnace_throat_temp
2024-03-01 00:00:00,4159.4575,394.1861,383.307,7866.4404,1200.0033,42.1875,4.6134,49.0829,219.9626,55.4104,107.9415,163.3519,25.4769,144.45675,286.4553,211.7115
2024-03-01 01:00:00,4134.3565,397.4125,386.8449,8121.14,1199.8345,42.0625,4.4772,49.0898,219.934,57.0692,109.8419,166.911,24.7734,148.018375,282.5833,218.2602
2024-03-01 02:00:00,4198.1079,394.7279,383.6977,8219.0923,1200.012,42.0,4.6227,48.9432,220.0055,55.0881,108.5986,163.6867,25.6551,135.988625,288.8092,216.0499
2024-03-01 03:00:00,4142.3332,393.0874,382.4054,7900.0957,1199.8408,42.5,4.7854,48.9925,220.0019,54.6143,107.7928,162.4071,25.5088,130.57385,285.7274,203.5977
2024-03-01 04:00:00,4157.0558,394.3511,383.4249,8105.7849,1200.1157,42.375,4.741,48.9809,219.9861,54.6983,108.745,163.4433,25.4432,136.064475,286.1631,202.1669
2024-03-01 05:00:00,4119.0263,395.8124,385.3386,8429.1355,1199.8586,42.3438,4.2123,49.0525,220.0215,54.8604,110.4488,165.3092,24.9281,142.5302,282.4222,201.8907
2024-03-01 06:00:00,4147.1088,400.7592,390.0084,8355.0451,1200.1434,42.0313,4.1759,49.028,219.9609,54.6486,115.3937,170.0423,24.3974,143.0522,281.7032,202.3472
2024-03-01 07:00:00,4132.3053,399.4182,388.9306,8330.4138,1199.8597,41.875,3.6213,49.045,219.9142,54.8248,114.1944,169.0191,24.4515,136.928425,281.2256,211.1723
2024-03-01 08:00:00,4201.7485,399.0217,387.9091,8652.7695,1199.9802,41.9063,3.4284,49.2,220.0042,55.0263,112.8855,167.9118,25.0302,139.640025,286.6021,215.9603
2024-03-01 09:00:00,4144.3494,398.2417,387.5775,8722.1849,1199.6753,41.3125,3.5387,49.0457,220.0107,54.2219,113.3399,167.5618,24.7517,134.67065,282.8106,216.3153
2024-03-01 10:00:00,4183.7951,398.574,387.5505,8606.7372,1200.6146,41.25,3.6486,48.7483,220.0341,55.1153,112.4034,167.5187,24.9823,139.53835,285.6893,221.7527
2024-03-01 11:00:00,4154.7719,398.028,387.2983,8577.6679,1199.6844,41.5938,3.6229,48.8314,219.9812,55.2172,112.0938,167.311,24.8331,141.3862,283.6526,216.4601
2024-03-01 12:00:00,4183.8623,394.2964,383.2585,8708.3275,1200.4113,42.0625,3.4059,48.7535,219.9728,55.0197,108.252,163.2717,25.626,138.7391,288.1773,209.6994
2024-03-01 13:00:00,4161.0065,394.6097,383.8252,8589.4123,1199.616,42.75,3.4731,48.8058,220.015,54.723,109.0874,163.811,25.4039,138.0944,286.1488,204.4944
2024-03-01 14:00:00,4207.9888,393.4127,382.188,8575.3316,1200.6483,42.8125,3.3751,48.6355,219.9331,53.9371,108.3163,162.2519,25.947,134.664825,290.5822,203.61
2024-03-01 15:00:00,4145.2338,397.9269,387.3571,8523.4753,1199.6279,42.0938,3.3129,48.5013,219.9884,54.4154,112.9452,167.361,24.7747,131.5947,283.0029,204.2787
2024-03-01 16:00:00,4153.9989,397.2172,386.338,8590.5068,1200.2367,41.3438,3.0465,48.8613,220.0044,56.2624,110.0692,166.3327,24.9869,142.472925,284.2854,218.3002
2024-03-01 17:00:00,4111.6328,401.1833,390.7692,8574.1367,1199.8132,40.9063,2.8405,48.8803,219.9533,55.6041,115.2058,170.8073,24.0782,149.330475,278.7955,224.8577
2024-03-01 18:00:00,4175.2975,396.2292,385.3417,8826.518,1200.2409,41.0,2.8602,48.5194,219.9539,54.2095,111.1731,165.3826,25.2528,148.038725,286.3498,225.5052
2024-03-01 19:00:00,4153.3102,393.7223,383.0947,8653.1421,1199.8392,40.875,2.9273,48.4327,219.975,54.6537,108.4672,163.1192,25.4657,142.908575,286.0688,213.1866
2024-03-01 20:00:00,4204.7957,393.7621,382.6418,8569.2443,1199.9929,41.625,2.8246,48.6823,219.9926,55.0334,107.6273,162.6607,25.8563,150.84475,289.8798,205.8634
2024-03-01 21:00:00,4168.4446,394.1336,383.3768,8513.6472,1199.8812,41.9375,2.9868,48.6738,219.9721,55.7295,107.6789,163.4075,25.5127,149.286225,286.9724,206.7234
2024-03-01 22:00:00,4194.7366,393.6983,382.6229,8540.6258,1200.0959,42.4375,3.1161,48.7842,219.9275,54.746,107.9474,162.6934,25.7915,154.170325,289.2488,210.3854
2024-03-01 23:00:00,4162.4601,394.1852,383.4901,8527.533,1199.9063,42.4688,3.1889,48.9556,220.0278,55.6161,107.8424,163.4584,25.4695,146.46665,286.4805,216.7945
