sample_id,air_volume,cold_air_press,hot_air_press,oxygen,hot_air_temp,coal_rate,humidity,gas_rate,furnace_top_press,upper_press_diff,lower_press_diff,total_press_diff,air_press_ratio,furnace_top_temp_avg,air_speed,furnace_throat_temp,pig,all_quality,consumption,fuel_rate,coke_rate
R2S2_TRAIN_4DCB697BD26C,4221.490806,403.110602,389.345042,11797.391933,1185.580252,41.875000,7.214100,48.383173,219.946908,46.787921,122.623750,169.411671,24.895273,148.354885,287.239086,207.162151,32.639606,57.095322,1.668803,507.658829,323.543041
R2S2_TRAIN_636D6F424D6C,3373.611126,341.562282,326.016282,6096.930249,1181.606053,36.233029,24.192695,47.705829,205.230957,48.457433,103.836285,152.293718,25.089827,216.811839,278.962648,236.496354,30.646452,57.922984,1.644755,502.449808,324.601358
R2S2_TRAIN_30D0BEF5435C,4163.003349,395.909667,382.710662,10680.320737,1199.573502,41.562500,14.590783,47.791793,219.730944,49.411835,116.305093,165.716928,25.375844,126.829584,285.565057,168.842202,34.227032,57.498998,1.654149,504.552975,330.849007
R2S2_TRAIN_FC75BD187A60,3816.440909,376.154635,379.203913,6126.495290,1200.172463,37.057884,25.464781,47.597096,217.986326,52.950304,105.721196,158.671499,24.710939,177.742112,273.951423,188.385885,31.435418,57.561745,1.648178,505.665516,329.072242
R2S2_TRAIN_572F4F3623EC,4202.760452,401.743585,389.225556,14130.336666,1187.100926,45.783782,9.563357,47.342595,219.917438,50.563120,118.878575,169.441695,24.781187,157.090319,289.833090,223.149462,35.044960,57.289865,1.659700,513.571883,324.618382
R2S2_TRAIN_B60206FAEE27,4110.471090,390.498530,378.623235,13785.810123,1200.211482,43.125000,7.372727,48.243409,219.984505,51.530348,104.195324,155.725672,25.945308,137.961102,287.895955,158.708801,34.402762,57.369180,1.658800,503.641214,325.143268
R2S2_TRAIN_E7BCAF404B0B,4226.604170,388.307615,381.059761,10538.256298,1200.536445,42.125000,3.731771,48.653919,220.024162,49.620222,106.871315,156.491537,26.808001,132.621433,292.896878,175.583241,34.460956,57.519777,1.656505,502.593265,321.236265
R2S2_TRAIN_0AD6D45B91FA,4134.976276,395.725229,383.784536,10638.613855,1184.629325,42.000000,26.384032,47.867942,219.918546,49.208209,113.002123,162.210332,25.531519,150.539184,289.396370,207.701474,32.560822,57.290254,1.669765,505.667926,323.827266
R2S2_TRAIN_5D28A1F6550F,4301.347318,397.906105,389.126198,13899.342411,1199.655517,47.530497,7.287094,49.000471,219.951929,50.224840,117.096635,167.321474,25.141525,129.455242,293.970189,182.640875,34.887291,57.136405,1.667457,502.354981,309.771066
R2S2_TRAIN_97AD4F6E6957,4192.836907,398.150423,386.727644,12438.257534,1178.943668,40.000000,12.246941,46.708246,219.917265,46.579748,117.181479,163.761227,24.797084,217.170578,286.812334,186.965693,34.222281,57.391936,1.662109,543.709708,358.650144
R2S2_TRAIN_4640062BE6FF,4120.204257,386.274909,374.951959,4254.301546,1200.073764,38.588209,16.004096,49.782267,219.964443,51.838800,105.381200,157.220000,26.245853,180.345021,291.698034,239.457738,30.646452,57.431652,1.651510,499.063121,326.862223
R2S2_TRAIN_296F0B9054C6,4122.276434,399.366780,390.614589,10150.714353,1186.879718,41.067964,3.638066,48.131074,219.977201,57.902488,108.542082,166.444570,25.150241,132.659205,284.456681,223.545403,34.224863,57.630312,1.655800,503.445765,320.541925
R2S2_TRAIN_EAEF2BD8938A,4102.424848,392.792281,380.439137,7298.085311,1196.426970,41.625000,4.761115,47.352545,213.842777,53.715361,108.132486,161.847847,25.240309,151.675641,287.906282,197.597833,33.435042,57.354637,1.654500,507.127360,322.780717
R2S2_TRAIN_3EC5430141A4,4091.498942,388.001960,379.249225,13367.613716,1185.513494,42.312500,16.729675,48.319873,219.935877,49.847028,107.500733,157.347761,25.685838,128.912511,289.071018,176.672021,32.019484,57.511960,1.649677,516.286550,337.333949
R2S2_TRAIN_A184C6A9877A,4046.965033,389.427740,382.843505,11037.360464,1184.273114,40.812500,15.475189,48.322882,215.948447,51.774157,105.509599,157.283756,25.544094,171.716550,284.988692,201.130321,34.295067,57.664921,1.656293,509.013736,320.804546
R2S2_TRAIN_ECBDA3ED9454,3968.057997,391.780151,379.310655,6718.573574,1200.204790,38.936183,26.180164,48.555260,219.948810,48.304729,116.020281,164.325010,24.552579,165.806002,286.595463,229.350265,32.648674,57.298329,1.658572,511.451029,327.570921
R2S2_TRAIN_6FC44B43E633,4218.203038,390.060032,379.391376,6878.593943,1185.445865,37.676597,15.349333,48.993179,219.966611,55.969626,109.903960,165.873586,25.690429,162.320911,284.068350,227.187755,31.204217,57.523757,1.650000,517.962569,330.219940
R2S2_TRAIN_8369A8F48925,4258.660605,401.035434,392.847495,8205.384075,1200.564841,45.664627,4.318577,48.967552,219.979670,56.587341,115.439616,172.026957,24.939136,138.252210,291.746292,222.156534,34.290136,57.210433,1.658900,496.843694,310.274982
R2S2_TRAIN_7ABBEC40FCA7,4143.902435,392.113825,382.968570,12024.927421,1187.838089,43.125000,20.851505,47.669980,219.956088,54.440567,105.845645,160.286211,25.280521,141.709346,286.749512,203.193227,34.092055,57.600410,1.653900,505.757438,321.313775
R2S2_TRAIN_438A3CF59DD4,4220.156237,401.010910,388.200056,10215.020243,1188.261316,43.720132,11.630576,48.999854,219.994015,56.980779,109.882081,166.862861,25.618636,141.783089,290.984399,225.388316,32.654162,57.076250,1.665812,503.640638,315.676792
R2S2_TRAIN_5B00C233E567,4178.186254,392.400489,383.120088,12482.073751,1184.846189,44.529246,13.500662,48.199832,219.947221,49.761458,112.920322,162.681779,25.987069,142.449701,289.943281,159.218477,34.995690,57.396129,1.657881,523.112033,337.794602
R2S2_TRAIN_0C5B563CFE1D,4230.291466,402.295782,390.221917,12824.725350,1194.069057,41.812500,24.731002,48.709825,219.966702,47.623136,120.536382,168.159518,25.214326,177.425706,289.373896,236.532323,34.178233,57.271223,1.661098,506.948903,320.798760
