sample_id,spout_no,tap_iron,tap_time_len
R2S_TRAIN_322CDC77AB2A,1,222.6607800856095,61.53
R2S_TRAIN_B385D75CF5B9,2,507.2256743495248,121.80065730639402
R2S_TRAIN_48EAB161EAF7,1,438.0122247509092,104.76421962780411
R2S_TRAIN_767C3C7D1F1D,1,553.0168658478174,136.05676137947395
R2S_TRAIN_BE3A722E0170,1,524.3931281783896,133.93581958519763
R2S_TRAIN_5435D0B52FCA,1,672.2539381863158,178.4178189341361
R2S_TRAIN_56ECA6588FE4,2,441.16544885169446,110.99005708323288
R2S_TRAIN_F9357FE8DD17,2,487.76160198128747,105.8956389244705
R2S_TRAIN_A1BF6552DCD9,2,409.45536498872764,104.41338092103375
R2S_TRAIN_EEECA3B67D4C,2,491.6947778445839,132.04623876551338
R2S_TRAIN_33B9D9CC00E8,2,633.1917204767395,160.1275411378891
R2S_TRAIN_29A5B994EE2E,2,344.02539211129465,79.04837629038553
R2S_TRAIN_BA19325F219C,2,468.0408733329865,106.0098803010323
R2S_TRAIN_77EB3CF98CC8,2,602.9960804768173,138.83654134063988
R2S_TRAIN_824EDA09B40B,1,540.9213616631165,128.38100360107507
R2S_TRAIN_9763FBEDC02D,1,488.01049987821887,114.17060383957913
R2S_TRAIN_7B2413A91009,2,609.4430433578738,145.9687649437549
R2S_TRAIN_AD1F22D31D8F,2,657.5299729226597,169.5330273983936
R2S_TRAIN_34A2941ADC12,1,672.3956711879715,166.83315463123276
R2S_TRAIN_13B976D957CC,1,546.4893017694843,114.47762471406139
R2S_TRAIN_E60CE1829BA5,2,452.5205561697903,96.83080268071203
R2S_TRAIN_453E354E9666,1,354.8385036640465,99.8015383406139
R2S_TRAIN_06205FF4E2CF,2,508.78939915780927,114.47355080813604
R2S_TRAIN_BC53E5D18146,1,582.5317507740821,153.36619608424226
R2S_TRAIN_64873E30A273,1,431.88075546979394,116.68745343124064
R2S_TRAIN_4F7520EA98E1,1,572.3380532329892,138.68178069155314
R2S_TRAIN_B4D9B3AC252A,2,549.2378828851357,139.6239278843306
R2S_TRAIN_3B06A6A6D52F,1,477.15396541934984,112.05097998794413
R2S_TRAIN_CE4503F595C2,2,420.396562935581,108.25797199716
R2S_TRAIN_EF0BBF585710,1,615.4262312324669,143.91111313638487
R2S_TRAIN_8252DBCE4E45,1,442.10366667830397,110.0003739170362
R2S_TRAIN_454C3942AF09,1,387.8324844799346,102.78668117351764
R2S_TRAIN_76848E3666C9,2,360.2274813130385,97.89238579870326
R2S_TRAIN_FDAFD4F011C2,1,361.6577198913807,105.59983480833327
R2S_TRAIN_D6907F09BF92,1,403.9329433789825,89.5810185796214
R2S_TRAIN_01CF1DAC4446,1,511.35411556310726,107.80656530037801
R2S_TRAIN_CD2B220EA8AC,1,618.7748441805577,146.75573270935772
R2S_TRAIN_CBAF3AD218FC,1,375.7933049817916,94.13845036649333
R2S_TRAIN_12729F7B7ADD,1,571.6145605741854,125.12187220849202
R2S_TRAIN_4B1AFB9AD5E4,2,608.2874717920911,146.56724122421198
R2S_TRAIN_E4674C40796A,2,525.0705429874228,127.6186124523607
R2S_TRAIN_0679AD74AF38,2,534.328881866659,136.5142539173144
R2S_TRAIN_F811D56AE0D2,2,477.0429187975877,109.00466216092109
R2S_TRAIN_C9326BCAAD45,2,574.6540022497292,136.9456971587893
R2S_TRAIN_8350D4028EE2,2,279.7067611462699,61.53
R2S_TRAIN_56DBEC9258B6,2,782.8313330548201,183.83695899247215
R2S_TRAIN_B36C55A22E2E,1,605.7343989645333,155.27971270042838
R2S_TRAIN_4825A307E8C0,2,408.1659347721715,102.08475048933502
R2S_TRAIN_B10C178D549C,2,506.6969559511959,135.24079769959522
R2S_TRAIN_67743EE9E3D8,2,547.8428981576512,98.15100923045932
R2S_TRAIN_2FC8EF9D213F,1,571.5408317680882,144.7909246271544
R2S_TRAIN_4EB48EB3D50D,2,379.27140954244106,94.03421941290209
R2S_TRAIN_CE7991E83DC8,1,644.7925160770878,166.86502897887735
R2S_TRAIN_ED306F4E60E6,1,592.465681487953,154.92879511604497
R2S_TRAIN_205DDFCB5880,2,466.0996473583407,93.11610550170342
R2S_TRAIN_4313EEAD0C5A,1,474.4413047776777,115.41147790372213
R2S_TRAIN_EA65602BCCFC,1,698.8266954575571,178.48195412012024
R2S_TRAIN_DDF026C2D874,2,522.1579483993343,136.19961737797124
